유산소 축구 0.158 data/photo/football.jpg
유산소 농구 0.14 data/photo/basketball.jpg
유산소 복싱 0.105 data/photo/boxing.jpg
유산소 수영 0.15 data/photo/swim.jpg
유산소 배구 0.105 data/photo/valley.jpg
유산소 필라테스 0.083 data/photo/yoga.jpg
유산소 실내걷기 0.046 data/photo/indoor_walk.jpg
유산소 실외걷기 0.035 data/photo/outdoor_walk.jpg
유산소 계단오르기 0.12 data/photo/stair.jpg
유산소 실외달리기 0.12 data/photo/run.jpg
유산소 실내달리기 0.1 data/photo/run.jpg
유산소 사이클링 0.14 data/photo/outdoor_cycle.jpg
유산소 실내사이클링 0.12 data/photo/indoor_cycle.jpg
유산소 하이킹 0.14 data/photo/hiking.jpg
무산소 덤벨컬 0.105 상체 data/photo/health.jpg
무산소 바벨컬 0.105 상체 data/photo/health.jpg
무산소 레그레이즈 0.14 상체 data/photo/health.jpg
무산소 사이드레그레이즈 0.14 상체 data/photo/health.jpg
무산소 사이드크런치 0.14 상체 data/photo/health.jpg
무산소 크런치 0.14 상체 data/photo/health.jpg
무산소 컨센트레이션컬 0.105 상체 data/photo/health.jpg
무산소 삼두덤벨익스텐션 0.122 상체 data/photo/health.jpg
무산소 삼두바벨익스텐션 0.122 상체 data/photo/health.jpg
무산소 시티드로우 0.13 상체 data/photo/health.jpg
무산소 렛풀다운 0.138 상체 data/photo/health.jpg
무산소 디클라인벤치프레스 0.14 가슴 data/photo/health.jpg
무산소 인클라인벤치프레스 0.14 가슴 data/photo/health.jpg
무산소 덤벨프레스 0.14 가슴 data/photo/health.jpg
무산소 푸쉬업 0.14 가슴 data/photo/health.jpg
무산소 체스트플라이 0.14 가슴 data/photo/health.jpg
무산소 바벨벤치프레스 0.14 가슴 data/photo/health.jpg
무산소 덤벨로우 0.13 등 data/photo/health.jpg
무산소 턱걸이 0.14 등 data/photo/health.jpg
무산소 바벨백익스텐션 0.14 등 data/photo/health.jpg
무산소 사이드레터럴레이즈 0.096 어깨 data/photo/health.jpg
무산소 프론트레이즈 0.096 어깨 data/photo/health.jpg
무산소 벤트오버레터럴레이즈 0.096 어깨 data/photo/health.jpg
무산소 바벨오버헤드프레스 0.12 어깨 data/photo/health.jpg
무산소 데드리프트 0.14 하체 data/photo/health.jpg
무산소 레그컬 0.122 하체 data/photo/health.jpg
무산소 라잉힙업 0.14 하체 data/photo/health.jpg
무산소 레그프레스 0.122 하체 data/photo/health.jpg
무산소 레그익스텐션 0.122 하체 data/photo/health.jpg
무산소 스쿼트 0.12 하체 data/photo/health.jpg
무산소 데드리프트 0.14 하체 data/photo/health.jpg
